tempo,V,spike
698,-54.668892,0
699,-54.620547,0
700,-54.572445,0
701,-54.524582,0
702,-54.476960,0
703,-54.429575,0
704,-54.382427,0
705,-54.335515,0
706,-54.288837,0
707,-54.242393,0
708,-54.196181,0
709,-54.150200,0
710,-54.104449,0
711,-54.058927,0
712,-54.013632,0
713,-53.968564,0
714,-53.923721,0
715,-53.879103,0
716,-53.834707,0
717,-53.790534,0
718,-53.746581,0
719,-53.702848,0
720,-53.659334,0
721,-53.616037,0
722,-53.572957,0
723,-53.530092,0
724,-53.487442,0
725,-53.445004,0
726,-53.402779,0
727,-53.360766,0
728,-53.318962,0
729,-53.277367,0
730,-53.235980,0
731,-53.194800,0
732,-53.153826,0
733,-53.113057,0
734,-53.072492,0
735,-53.032129,0
736,-52.991969,0
737,-52.952009,0
738,-52.912249,0
739,-52.872688,0
740,-52.833324,0
741,-52.794157,0
742,-52.755187,0
743,-52.716411,0
744,-52.677829,0
745,-52.639440,0
746,-52.601242,0
747,-52.563236,0
748,-52.525420,0
749,-52.487793,0
750,-52.450354,0
751,-52.413102,0
752,-52.376037,0
753,-52.339156,0
754,-52.302461,0
755,-52.265948,0
756,-52.229619,0
757,-52.193471,0
758,-52.157503,0
759,-52.121716,0
760,-52.086107,0
761,-52.050677,0
762,-52.015423,0
763,-51.980346,0
764,-51.945444,0
765,-51.910717,0
766,-51.876163,0
767,-51.841783,0
768,-51.807574,0
769,-51.773536,0
770,-51.739668,0
771,-51.705970,0
772,-51.672440,0
773,-51.639078,0
774,-51.605882,0
775,-51.572853,0
776,-51.539989,0
777,-51.507289,0
778,-51.474752,0
779,-51.442379,0
780,-51.410167,0
781,-51.378116,0
782,-51.346225,0
783,-51.314494,0
784,-51.282922,0
785,-51.251507,0
786,-51.220250,0
787,-51.189148,0
788,-51.158203,0
789,-51.127412,0
790,-51.096775,0
791,-51.066291,0
792,-51.035959,0
793,-51.005779,0
794,-50.975750,0
795,-50.945872,0
796,-50.916142,0
797,-50.886562,0
798,-50.857129,0
799,-50.827843,0
800,-50.798704,0
801,-50.769710,0
802,-50.740862,0
803,-50.712158,0
804,-50.683597,0
805,-50.655179,0
806,-50.626903,0
807,-50.598768,0
808,-50.570775,0
809,-50.542921,0
810,-50.515206,0
811,-50.487630,0
812,-50.460192,0
813,-50.432891,0
814,-50.405727,0
815,-50.378698,0
816,-50.351804,0
817,-50.325045,0
818,-50.298420,0
819,-50.271928,0
820,-50.245568,0
821,-50.219341,0
822,-50.193244,0
823,-50.167278,0
824,-50.141441,0
825,-50.115734,0
826,-50.090155,0
827,-50.064705,0
828,-50.039381,0
829,-50.014184,0
830,-65.000000,1
831,-64.900000,0
832,-64.800500,0
833,-64.701498,0
834,-64.602990,0
835,-64.504975,0
836,-64.407450,0
837,-64.310413,0
838,-64.213861,0
839,-64.117792,0
840,-64.022203,0
841,-63.927092,0
842,-63.832456,0
843,-63.738294,0
844,-63.644602,0
845,-63.551379,0
846,-63.458622,0
847,-63.366329,0
848,-63.274498,0
849,-63.183125,0
850,-63.092210,0
851,-63.001749,0
852,-62.911740,0
853,-62.822181,0
854,-62.733070,0
855,-62.644405,0
856,-62.556183,0
857,-62.468402,0
858,-62.381060,0
859,-62.294155,0
860,-62.207684,0
861,-62.121645,0
862,-62.036037,0
863,-61.950857,0
864,-61.866103,0
865,-61.781772,0
866,-61.697863,0
867,-61.614374,0
868,-61.531302,0
869,-61.448646,0
870,-61.366402,0
871,-61.284570,0
872,-61.203148,0
873,-61.122132,0
874,-61.041521,0
875,-60.961314,0
876,-60.881507,0
877,-60.802099,0
878,-60.723089,0
879,-60.644474,0
880,-60.566251,0
881,-60.488420,0
882,-60.410978,0
883,-60.333923,0
884,-60.257253,0
885,-60.180967,0
886,-60.105062,0
887,-60.029537,0
888,-59.954389,0
889,-59.879617,0
890,-59.805219,0
891,-59.731193,0
892,-59.657537,0
893,-59.584249,0
894,-59.511328,0
895,-59.438772,0
896,-59.366578,0
897,-59.294745,0
898,-59.223271,0
899,-59.152155,0
900,-59.081394,0
901,-59.010987,0
902,-58.940932,0
903,-58.871227,0
904,-58.801871,0
905,-58.732862,0
906,-58.664198,0
907,-58.595877,0
908,-58.527897,0
909,-58.460258,0
910,-58.392956,0
911,-58.325992,0
912,-58.259362,0
913,-58.193065,0
914,-58.127100,0
915,-58.061464,0
916,-57.996157,0
917,-57.931176,0
918,-57.866520,0
919,-57.802187,0
920,-57.738177,0
921,-57.674486,0
922,-57.611113,0
923,-57.548058,0
924,-57.485317,0
925,-57.422891,0
926,-57.360776,0
927,-57.298972,0
928,-57.237478,0
929,-57.176290,0
930,-57.115409,0
931,-57.054832,0
932,-56.994558,0
933,-56.934585,0
934,-56.874912,0
935,-56.815537,0
936,-56.756460,0
937,-56.697677,0
938,-56.639189,0
939,-56.580993,0
940,-56.523088,0
941,-56.465473,0
942,-56.408145,0
943,-56.351104,0
944,-56.294349,0
945,-56.237877,0
946,-56.181688,0
947,-56.125779,0
948,-56.070150,0
949,-56.014800,0
950,-55.959726,0
951,-55.904927,0
952,-55.850402,0
953,-55.796150,0
954,-55.742170,0
955,-55.688459,0
956,-55.635017,0
957,-55.581841,0
958,-55.528932,0
959,-55.476288,0
960,-55.423906,0
961,-55.371787,0
962,-55.319928,0
963,-55.268328,0
964,-55.216986,0
965,-55.165901,0
966,-55.115072,0
967,-55.064497,0
968,-55.014174,0
969,-54.964103,0
970,-54.914283,0
971,-54.864711,0
972,-54.815388,0
973,-54.766311,0
974,-54.717479,0
975,-54.668892,0
976,-54.620547,0
977,-54.572445,0
978,-54.524582,0
979,-54.476960,0
980,-54.429575,0
981,-54.382427,0
982,-54.335515,0
983,-54.288837,0
984,-54.242393,0
985,-54.196181,0
986,-54.150200,0
987,-54.104449,0
988,-54.058927,0
989,-54.013632,0
990,-53.968564,0
991,-53.923721,0
992,-53.879103,0
993,-53.834707,0
994,-53.790534,0
995,-53.746581,0
996,-53.702848,0
997,-53.659334,0
998,-53.616037,0
999,-53.572957,0
